TIMESTAMP|TEMPERATUR_C|LUFTFEUCHTE_PERCENT|DRUCK_HPA
2026-02-21T10:09:08|20.3|33.32|1006.77
2026-02-21T10:14:09|20.29|33.32|1006.86
2026-02-21T10:19:09|20.29|33.31|1007.02
2026-02-21T10:24:09|20.29|33.29|1007.03
2026-02-21T10:29:09|20.29|33.24|1006.79
2026-02-21T10:34:09|20.29|33.21|1006.87
2026-02-21T10:39:10|20.28|33.22|1007.01
2026-02-21T10:44:10|20.29|33.21|1007.14
2026-02-21T10:49:10|20.29|33.22|1007.13
2026-02-21T10:54:10|20.27|33.21|1007.04
2026-02-21T10:59:11|20.26|33.22|1007.09
2026-02-21T11:04:11|20.27|33.16|1007.13
2026-02-21T11:09:11|20.27|33.17|1007.13
2026-02-21T11:14:11|20.28|33.16|1007.14
2026-02-21T11:19:11|20.28|33.15|1007.28
2026-02-21T11:24:12|20.27|33.15|1007.26
2026-02-21T11:29:12|20.28|33.05|1007.33
2026-02-21T11:34:12|20.28|33.11|1007.22
2026-02-21T11:39:12|20.27|33.11|1007.31
2026-02-21T11:44:13|20.26|33.12|1007.3
2026-02-21T11:49:13|20.26|33.11|1007.44
2026-02-21T11:54:13|20.28|33.11|1007.54
2026-02-21T11:59:13|20.28|33.08|1007.51
2026-02-21T12:04:13|20.28|33.1|1007.49
2026-02-21T12:09:14|20.29|33.1|1007.59
2026-02-21T12:14:14|20.29|33.09|1007.54
2026-02-21T12:19:14|20.29|33.11|1007.56
2026-02-21T12:24:14|20.28|33.12|1007.59
2026-02-21T12:29:14|20.26|33.14|1007.65
2026-02-21T12:34:15|20.26|33.12|1007.62
2026-02-21T12:39:15|20.26|33.12|1007.68
2026-02-21T12:44:15|20.27|33.14|1007.68
2026-02-21T12:49:15|20.27|33.15|1007.63
2026-02-21T12:54:16|20.28|33.15|1007.68
2026-02-21T12:59:16|20.27|33.19|1007.59
2026-02-21T13:04:16|20.26|33.19|1007.6
2026-02-21T13:09:16|20.27|33.23|1007.56
2026-02-21T13:14:16|20.27|33.24|1007.63
2026-02-21T13:19:17|20.28|33.22|1007.68
2026-02-21T13:24:17|20.29|33.21|1007.73
2026-02-21T13:29:17|20.3|33.19|1007.74
2026-02-21T13:34:17|20.32|33.23|1007.64
2026-02-21T13:39:17|20.38|33.16|1007.63
2026-02-21T13:44:18|20.4|33.09|1007.47
2026-02-21T13:49:18|20.39|33.03|1007.48
2026-02-21T13:54:18|20.36|33.11|1007.49
2026-02-21T13:59:18|20.33|33.16|1007.47
2026-02-21T14:04:19|20.31|33.22|1007.54
2026-02-21T14:09:19|20.29|33.25|1007.42
2026-02-21T14:14:19|20.29|33.26|1007.42
2026-02-21T14:19:19|20.28|33.31|1007.49
2026-02-21T14:24:19|20.28|33.33|1007.38
2026-02-21T14:29:20|20.28|33.3|1007.38
2026-02-21T14:34:20|20.28|33.33|1007.42
2026-02-21T14:39:20|20.27|33.38|1007.45
2026-02-21T14:44:20|20.28|33.35|1007.49
2026-02-21T14:49:20|20.27|33.36|1007.39
2026-02-21T14:54:21|20.27|33.35|1007.43
2026-02-21T14:59:21|20.26|33.34|1007.41
2026-02-21T15:04:21|20.26|33.39|1007.35
2026-02-21T15:09:21|20.27|33.38|1007.51
2026-02-21T15:14:22|20.27|33.38|1007.5
2026-02-21T15:19:22|20.28|33.4|1007.63
2026-02-21T15:24:22|20.28|33.39|1007.71
2026-02-21T15:29:22|20.28|33.4|1007.66
2026-02-21T15:34:22|20.28|33.44|1007.7
2026-02-21T15:39:23|20.26|33.44|1007.7
2026-02-21T15:44:23|20.26|33.48|1007.75
2026-02-21T15:49:23|20.26|33.52|1007.72
2026-02-21T15:54:23|20.26|33.57|1007.69
2026-02-21T15:59:24|20.26|33.59|1007.57
2026-02-21T16:04:24|20.26|33.51|1007.54
2026-02-21T16:09:24|20.28|33.54|1007.47
2026-02-21T16:14:24|20.27|33.53|1007.43
2026-02-21T16:19:24|20.27|33.6|1007.39
2026-02-21T16:24:25|20.26|33.61|1007.49
2026-02-21T16:29:25|20.27|33.66|1007.47
2026-02-21T16:34:25|20.25|33.63|1007.45
2026-02-21T16:39:25|20.26|33.63|1007.48
2026-02-21T16:44:25|20.25|33.65|1007.47
2026-02-21T16:49:26|20.26|33.67|1007.43
2026-02-21T16:54:26|20.27|33.64|1007.45
2026-02-21T16:59:26|20.26|33.66|1007.48
2026-02-21T17:04:26|20.27|33.66|1007.39
2026-02-21T17:09:27|20.26|33.72|1007.48
2026-02-21T17:14:27|20.26|33.73|1007.52
2026-02-21T17:19:27|20.25|33.72|1007.52
